         A1 A2 A3 A4 B1 B2 B3 B4 sum
max.     18 10  6  6 11 23 15 11 100
SKFJ7    16  7  6  4 11 14 14 11  83  
SKHJ5    18  7  6  5 11 21 15 11  94  
SKNR1    18  7  0  2  1  5  2  1  36  
SKNS0    14  5  5  3 11 13  6  2  59  
SKTR5    16  6  6  3 11 18  5  4  69  
SKYB6    14  8  2  2  7  5  2  7  47  
SLQJ5    16 10  6  4 11  9  4  3  63  
SNZC1    14  3  4  0 11  5  2  2  41  
SPDT4    15  3  4  2  2  4  1  1  32  
SPRK9    14  3  4  4 11 14  3  6  59  
SQPK0    15  5  4  4 11 14  2  5  60  
SRXJ2    16  7  6  5 11 14 13 11  83  
SRZJ0    16  6  0  2  2 23  4  0  53  
SSVZ7    15  6  4  3  5 12  9 11  65  
STLZ6    18  5  6  5 11 20 11 11  87  
STPJ8    18  5  6  5 11 20  9  9  83  
SVFB4    13  2  1  2 11  2  4  1  36  
SXDZ0    16  5  6  5  7 12 15  7  73  
SXKS0    15  7  0  5  7  6  3  0  43  
SXRR4    16  7  6  5  7  8 11  8  68  
SXYK4    17  5  6  6 11 22 13 11  91  
SYDJ5    16  5  2  3 11  4  7  0  48  
SZRK9    17  5  2  3 11 12  9  6  65  
TBXR9    14  2  5  4 11 19 10 11  76  
TCCR9    16  5  0  3  0  5  4  0  33  
TCGR5    16  4  3  5  7 15  5  8  63  
TCJZ4    16  6  4  2 11 12  1  9  61  
TCLZ2    18  5  6  5 11 19 14  9  87  
TCNY1    18  7  0  3  7  6 10  2  53  
TCPY9    18  7  4  5 11 16 14  7  82  
TCRQ5    16  3  2  1  8  0  6  0  36  
TDFB1    15  4  1  0  6  2  3  0  31  
TDKZ2    18  5  6  5 11 17  9  9  80  
TFQT0    16  4  0  0 11  1  3  0  35  
THMZ6    18  5  6  5 11 15 15  9  84  
THWR4    14  6  6  4 11 17  4  9  71  
TJHL3    16  5  5  5 11 19  8 11  80  
TKDZ2    16  4  6  5 11 21 15  7  85  
TKJJ2    10  4  4  4 11 18  8  9  68  
TKWB7    17  5  5  5 11 10  8 10  71  
TLDH9    12  2  6  4  7  4  3  6  44  
TLFB3    14  2  0  3  8  0  1  0  28  
TLPY0    16  0  4  3  7 11  4  1  46  
TMHY7    15  8  3  5  7 15  9  1  59  
TMPZ8    18  9  4  5 11 17 15  8  87  
TMYJ5    16  5  6  4 11 14 13  9  78  
TNCJ6    14  3  6  5 11  9  5  8  61  
TPBC2    12  3  2  3 11  6  4  0  41  
TPPR3    13 10  6  6 11 18 13 11  88  
TPYK1    16  2  3  2 11  3  5  0  42  
TPYR4    14  1  3  0  1  5  0  0  24  
TQCB1    11  4  0  4 11  6  3  8  47  
TQFJ0    15  5  6  4 11 13 10 11  75  
TQTB4    16  3  6  4 11 11  8  3  62  
TQVB2    15  4  6  3 11 10  5 11  65  
TSGJ7    16  4  3  5 10 15 11  9  73  
TSHR8    16  5  5  5 11 18 14 11  85  
TSQZ1    15  6  6  6  7 11  8 11  70  
TVPS6    17  7  6  6 11 18 14 11  90  
TWFC1     3  2  0  2 11  6  1  3  28  
TWPK3    10  2  3  4 11  7  8  0  45  
TXNK4    15 10  5  6 11 16 14 10  87  
TXSR2    14  4  0  0  0  2  0  0  20  
TZHR1    16  3  3  4 11  3  5  7  52  
TZSJ8    17  7  6  5 11 19 13  7  85  
TZTZ1    18  7  6  5 10 14 12  3  75  
VBQQ5    16  6  6  6 11 16  4 11  76  
VCKZ1    17  7  6  4 11 15 12  5  77  
VCPJ2    14  2  4  5 11 14 12 11  73  
VCTZ2    18 10  5  5 11 15 14 11  89  
VDKH8    16 10  4  6 11 20 15 11  93  
VDQK9    16  3  5  3 11  0  4  1  43  
VDQR2    16  9  6  5 11 19 13 11  90  
VFKZ8    13  7  5  5 11 15 14 11  81  
VFLR5    16  8  6  4 11 15 12  6  78  
VFNR3     7  4  0  4 10  1  5  2  33  
VGYB7    14  5  5  4  6  5  9  8  56  
VHFZ1    16 10  6  5 11 20 11  4  83  
VJCR0    18  7  6  6 11 22 15 11  96  
VJHZ7    16  6  5  4 11 19  9  4  74  
VJYR8    17  7  6  5 11 13  7  1  67  
VJZJ5    16  6  6  4 11 11  9  8  71  
VKNZ0    18  5  5  4 11 13 11 10  77  
VKWQ0    16  7  6  6 11 22 13 10  91  
VLDJ5    16  7  0  4 11 18 14  4  74  
VLLJ7    16  5  4  3 11 15  7  9  70  
VLLR9    18  5  6  5 11 23 13 11  92  
VMBB4    18  3  6  6 11 19 15  9  87  
VMKJ7    16  8  6  5 11 12  6 11  75  
VMMZ9    17  4  6  5 11 19 13 11  86  
VMNZ8    18 10  4  5 11 19 11 10  88  
VMPQ5    17  6  4  4 11 12  4  4  62  
VNCR6    13  1  3  4 11 13 10 10  65  
VNNJ3    18  7  6  5 11 19 14 11  91  
VNYB0    15  7  6  3  9  9  6  8  63  
VPRJ7    15  7  6  5 11  9  6  2  61  
VPWJ2    14  4  0  1  3  4  2  1  29  
VQCZ5    17  6  3  5  9 16 12  2  70  
VRLZ5    16  4  3  4  6 13  5  1  52  
VRTZ7    16  7  6  2  7  7 12  5  62  
VTXR9    15  6  4  4  7 10  6 10  62  
VVHY6    16  4  5  4  9 18 13 11  80  
